631.deepsjeng,468,468,1,1x,12,16013,17
641.leela,631,630,1.001587302,1.002x,4,7413,9
602.gcc,594,592,1.003378378,1.003x,68,21501,80
623.xalancbmk,327,325,1.006153846,1.006x,33,2131,39
644.nab,2640,2622,1.00686,1.007x,0,0,0
619.lbm,1217,1205,1.00995,1.010x,0,0,0
600.perlbench,461,453,1.017660044,1.017x,13,16476,18
620.omnetpp,399,392,1.017857143,1.018x,14,4062,19
657.xz,2970,2910,1.020618557,1.020x,5,3931,8
605.mcf,1021,1000,1.021,1.022x,3,3190,7
625.x264,301,292,1.030821918,1.031x,13,24031,18
638.imagick,4781,4574,1.04525579,1.045x,0,0,0